schoolid,tracking,bottomhalf,scoreendfirstgrade
432,1,0,.068853304
432,1,0,-.63490516
432,1,0,-.24462482
432,1,0,-.3245618
432,1,0,-.0063815066
432,1,0,.94972706
432,1,0,1.7882811
432,1,0,1.5743321
436,1,1,-.56593996
436,1,1,-1.3801996
436,1,1,-1.4013593
436,1,1,-.77126819
436,1,1,-1.4295723
436,1,1,-1.1607648
436,1,1,-.85277247
436,1,1,-1.203868
436,1,1,-1.2649963
436,1,1,-.57142586
436,1,1,-.84963775
436,1,1,-.77126819
436,1,1,-1.1239312
436,1,1,-.86452794
436,1,1,.015562049
436,1,1,-1.3637419
436,1,1,-.12080093
436,1,1,-.52440411
436,1,1,-1.2924256
436,1,1,-.054970585
436,1,1,.73264325
436,1,1,-.28851184
436,1,0,-.64901173
436,1,0,1.1025475
436,1,0,.94972706
436,1,0,.5437727
436,1,0,-.21954651
436,1,0,1.5962757
436,1,0,.99361396
436,1,0,.19032615
436,1,0,-.53772694
436,1,0,-1.4013593
436,1,0,2.4277766
436,1,0,-.27205417
436,1,0,1.3102268
436,1,0,-1.2979115
436,1,0,.58374125
436,1,0,1.659755
436,1,0,.44502714
436,1,0,.97167057
436,1,0,.89800322
436,1,0,1.3400073
436,1,0,.89173353
436,1,0,1.575116
436,1,0,.93640411
443,0,0,-.17017384
443,0,0,.39173588
443,0,0,.79377162
443,0,1,-1.2696985
443,0,0,-.47268018
443,0,0,1.541417
443,0,0,.84706289
443,0,1,-.81358773
443,0,0,-.35826063
443,0,1,-.81515515
443,0,0,-.28380954
443,0,0,-.52675527
443,0,1,.82276839
443,0,0,.079825081
443,0,0,1.505367
443,0,1,-1.3316104
443,0,1,-.73286706
443,0,1,-.6772247
443,0,1,-.9060638
443,0,1,-1.2352159
443,0,1,-.35747692
443,0,1,-.17017384
443,0,1,-1.0361573
443,0,0,1.4379693
443,0,0,.30239454
443,0,1,1.0806041
443,0,1,-1.4295723
443,0,0,-.88803881
443,0,1,-.85198879
443,0,0,.34001184
443,0,1,-.34180307
443,0,0,-.097290166
443,0,0,1.4277813
443,0,1,-.099641196
443,0,0,.5978477
443,0,1,1.318064
443,0,0,.24518484
443,0,0,-.88098556
443,0,1,-.8982268
443,0,0,.041423962
443,0,1,-1.3355289
443,0,0,2.1824799
443,0,0,1.4559941
443,0,1,-.30026722
443,0,0,1.3070922
443,0,1,1.1911051
443,0,1,-1.0839627
443,0,1,-.7218954
451,0,0,.99518138
451,0,0,-1.0745583
451,0,1,-1.319855
451,0,1,-1.000891
451,0,0,-.68349427
451,0,0,-1.111392
451,0,0,-1.0181322
451,0,0,-1.0925833
451,0,1,-.067509681
451,0,1,-.70308667
451,0,0,-1.1881942
451,0,0,-1.0455616
451,0,1,-1.2869397
451,0,0,.15976197
451,0,0,-.28380954
451,0,0,-1.4107636
451,0,1,-1.3637419
451,0,0,-.85825837
451,0,0,.37762925
451,0,1,-1.4131147
451,0,0,.31336632
451,0,0,-.76813334
451,0,0,-.40293127
451,0,0,-.70543778
451,0,1,-1.319855
451,0,0,-.91860288
451,0,1,-.38568997
451,0,0,-.99070287
451,0,1,-1.0988529
451,0,1,-1.2822376
451,0,1,-.30888784
451,0,1,-1.0659376
451,0,0,-.73365074
451,0,0,-.62079865
451,0,0,-1.319855
451,0,0,-1.1411724
451,0,1,-1.2352159
451,0,0,-.50951385
451,0,0,-.097290166
451,0,0,-.33004758
452,1,1,-.88412029
452,1,1,-1.4295723
452,1,1,-1.2508898
452,1,1,-.82455945
452,1,1,.27888367
452,1,1,-.96875942
452,1,1,-1.4295723
452,1,1,-.83866596
452,1,1,1.0782531
452,1,1,-1.1772224
452,1,1,-.99070287
452,1,1,-1.0596681
452,1,1,-.68349427
452,1,1,.69894439
452,1,1,-.061240081
452,1,1,-.73678559
452,1,1,-1.3143691
452,1,1,.051612027
452,1,1,-.78694206
452,1,1,-.20779113
452,1,1,-.17409219
452,1,1,.27574891
452,1,1,.24126627
452,1,1,.86665529
452,1,1,.14879018
452,1,1,-.88098556
452,1,1,1.5578748
452,1,0,.52339661
452,1,0,-.802616
452,1,0,.22245766
452,1,0,-.77126819
452,1,0,.45443147
452,1,0,-.91860294
452,1,0,-.34728897
452,1,0,.34784898
452,1,0,1.4755865
452,1,0,-.6450932
452,1,0,-.26029879
452,1,0,-.26656827
452,1,0,-.13020529
452,1,0,-.35434219
452,1,0,.41054437
